hotelId,name,brand,starRating,location,thumbnailUrl,hotelFeatures,overallGuestRating,totalReviewCount,proximity,ratesSummary,allInclusiveRateProperty,displayRank,recmdScore,programCode,programName,dealTypes,merchandising,badges,media,keyFeatures,globalDealScore,signInDealsAvailable
424503,The Royal Horseguards,Guoman,5.0,"{'address': {'addressLine1': '2 Whitehall Court', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'SW1A 2EJ', 'isoCountryCode': 'UK'}, 'longitude': -0.124175548999915, 'latitude': 51.5058042300001, 'timeZone': 'Europe/London', 'neighborhoodId': '910020045', 'neighborhoodName': 'Mayfair - Soho', 'cityId': 3000035825, 'zoneId': '20045'}",https://mobileimg.priceline.com/htlimg/424/424503/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'FITSPA', 'BUSCNTR', 'HANDFAC', 'NSMKFAC', 'SUSTAIN']}",8.2,3566,1.1375609884083162,"{'minPrice': '393.98', 'minCurrencyCode': 'USD', 'minStrikePrice': '625.06', 'pclnId': '0617E8FC3F9C58D404E3BAC471ACB6677C015D72402DF3C907F4642FE8AABAD6F96075C5D9AE68E1AD23E157D3C8177ED1669E3D965290BD7FD82B04E1E34018EBD1CB76A81268F953FF67F46F97E5E56CE63C8B788657EAB71F93F315BF42EB', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'We love this deal!', 'discountPercentage': 0.0, 'showDiscount': False, 'dealType': 'DEAL_OF_DAY', 'isVariableMarkupPromo': False}], 'roomLeft': 1, 'gid': 5193, 'rateIdentifier': '261A3936ED0F826020D5C9B13316E8798C9A7093D242D255EBE0F7EB83094FC289AA6AF315BE301BF98A48427C482964DB24EE22F1087D55CFF672EBCE89ED0B560EC169F4D8DCF54C6C5F1EB5F4F345C4C44B784464AF39', 'programName': 'Value_Deal', 'savingsPct': '36.0', 'strikeThroughPrice': '625.06', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,10000.0,0.0,OPAQUE,Value_Deal,['VALUE_DEAL'],"{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/4/2/4/424503/master_424503'}",['clean'],0.0,
2090305,Corus Hyde Park Hotel,Independent,4.0,"{'address': {'addressLine1': 'Lancaster Gate', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'W2 3LG', 'isoCountryCode': 'UK'}, 'longitude': -0.17992999, 'latitude': 51.5116, 'timeZone': 'Europe/London', 'neighborhoodId': '910052664', 'neighborhoodName': 'Notting Hill - Paddington Station Area', 'cityId': 3000035825, 'zoneId': '52664'}",https://mobileimg.priceline.com/htlimg/2090/2090305/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",6.6,5024,3.2759331117667054,"{'minPrice': '177.51', 'minCurrencyCode': 'USD', 'pclnId': 'AAB278A7F2C36AB5FBFB1CC4D25E1AB961D61C882DD755E634D7C889BA81181C928DFD3F8D7A90EBA82A30D7EF7749BFB28F0C6DE4A5632CBEA388BC74941C7CF45907A435ECE58A', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'gid': 2683, 'rateIdentifier': 'ECA2E71619AAB2EA4B9E5EA1334D8951252B8AB5D0F774B1513CC530D6942795A1932553B7B6D8420BC9571157637840DCD9035DAC448F1AACE6E3DC15049275', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9999.0,0.0,AGENCY,,,"{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/20/9/0/2090305/master_2090305'}",,4.197252,True
424803,The Tower,Independent,4.0,"{'address': {'addressLine1': 'St Katharines Way', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'E1 9LD', 'isoCountryCode': 'UK'}, 'longitude': -0.072680974999912, 'latitude': 51.5063050900001, 'timeZone': 'Europe/London', 'neighborhoodId': '910020044', 'neighborhoodName': 'The City - Tower Bridge - St. Pauls Cathedral', 'cityId': 3000035825, 'zoneId': '20044'}",https://mobileimg.priceline.com/htlimg/424/424803/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'FITSPA', 'BUSCNTR', 'HANDFAC', 'NSMKFAC', 'FAMFRIEND']}",7.8,19350,1.9336731259940516,"{'minPrice': '183.15', 'minCurrencyCode': 'USD', 'minStrikePrice': '205.30', 'pclnId': 'A6F9913E16D7A8E508A7740ADD6160E38D0A2FB7A3A3465D07F4642FE8AABAD6F96075C5D9AE68E1AD23E157D3C8177E7F81DFEF62C09E6E10A94C988C3E3624E385651AEF7F220814DDAA661B40DA15B7E2B68DD59C8915F320A329C8C354604123F27DCBF1E9F5', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'roomLeft': 1, 'gid': 5928, 'rateIdentifier': '261A3936ED0F82606AA9C790B6D14B4C23278171DA2D098544E3128020F35AEFD6A0B907189F7E9242E72EC0369411BB105513BE59B8DE885E42535621987B651DE3A1A38D68DF7AF8F453C7E3B163BCE2D7525BCFCE660C', 'programName': 'Value_Deal', 'savingsPct': '10.0', 'strikeThroughPrice': '205.30', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9998.0,0.0,OPAQUE,Value_Deal,['VALUE_DEAL'],"{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/4/2/4/424803/master_424803'}",,0.0,
8381503,Cromwell International Hotel,Independent,3.0,"{'address': {'addressLine1': '141 Cromwell Road', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'SW7 4DX', 'isoCountryCode': 'UK'}, 'longitude': -0.187899999999956, 'latitude': 51.4943000000001, 'timeZone': 'Europe/London', 'neighborhoodId': '910052331', 'neighborhoodName': ""Kensington - Earl's Court"", 'cityId': 3000035825, 'zoneId': '52331'}",https://mobileimg.priceline.com/htlimg/8381/8381503/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'NSMKFAC', 'FAMFRIEND']}",4.6,6010,3.317915397853959,"{'minPrice': '78.96', 'minCurrencyCode': 'USD', 'pclnId': 'D4F3006BA3C552E855707C3EBC9762639E7C7B5D87F547894DCF0272FA17A51286C1FD6810CA3D618A7BAA812F626D41DCE50BF21B563F94197161AF416791C453FDCBB349ABD93F', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'gid': 2947, 'rateIdentifier': '86C1FD6810CA3D618A7BAA812F626D41DCE50BF21B563F94513CC530D69427953CAA11D45B30F7BA1BE474908557369386C1FD6810CA3D618582DC1478F73367', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9997.0,0.0,AGENCY,,,{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/83/8/1/8381503/master_8381503'}",,0.0,
284603,The Dilly,Independent,5.0,"{'address': {'addressLine1': '21 Piccadilly', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'W1J 0BH', 'isoCountryCode': 'UK'}, 'longitude': -0.13635106199996, 'latitude': 51.50940424, 'timeZone': 'Europe/London', 'neighborhoodId': '910020045', 'neighborhoodName': 'Mayfair - Soho', 'cityId': 3000035825, 'zoneId': '20045'}",https://mobileimg.priceline.com/htlimg/284/284603/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'SPOOL', 'SPOOL', 'RESTRNT', 'FITSPA', 'SPA', 'PETALLOW', 'HANDFAC', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",8.0,3654,1.6485494036953536,"{'minPrice': '329.86', 'minCurrencyCode': 'USD', 'minStrikePrice': '477.57', 'pclnId': '99F1B8A8F2B309AB023E0B3F3DDAA78F9E7C7B5D87F5478907F4642FE8AABAD6F96075C5D9AE68E1AD23E157D3C8177E85F89C1E8B050FAD0ED56787489A11AFC4E50C1F97A9584D76314B14FC633BE389AA6AF315BE301B495B8C4434655CF1B804BEA6EE27D121', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'Exclusive discount', 'discountPercentage': 12.9, 'showDiscount': True, 'isVariableMarkupPromo': False}], 'roomLeft': 1, 'gid': 5642, 'rateIdentifier': '261A3936ED0F82603DAD0F769C8A06361A65045F8226F53BAB14D5A5CB6E42A2EEA6D91D8251E947C6154A9AA34BD6A4A8140EB22398BC4C8160F0EDE5C77332E381D0D294602E306D33635F5B2ED7A4BBED4B78D652B7CFDFB7AA8D77A37DBD', 'programName': 'Value_Deal', 'savingsPct': '30.0', 'strikeThroughPrice': '477.57', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9996.0,0.0,OPAQUE,Value_Deal,"['PROMO_DISCOUNT', 'VALUE_DEAL']","{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/2/8/4/284603/master_284603'}",,0.0,
17634604,Maitrise Hotel Maida Vale - London,Independent,3.0,"{'address': {'addressLine1': '53-59 Kilburn High Road, Maida Vale', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'NW6 5SB', 'isoCountryCode': 'UK'}, 'longitude': -0.19196033, 'latitude': 51.53640593, 'timeZone': 'Europe/London', 'neighborhoodId': '910053465', 'neighborhoodName': 'Maida Vale - Queens Park', 'cityId': 3000035825, 'zoneId': '53465'}",https://mobileimg.priceline.com/htlimg/17634/17634604/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['ADULTONLY', 'FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'FITSPA', 'NSMKFAC', 'SUSTAIN', 'KIDFRIEND']}",6.6,2385,4.663464356398228,"{'minPrice': '85.38', 'minCurrencyCode': 'USD', 'minStrikePrice': '124.13', 'pclnId': 'C64E3E52EA1CC2DFDA18836A0F8833F0C8A4AD2F449FC884F233A0A7245170E329731B53F07AF614EECA894072AD77A84AAF1FFF526253DC791F0625C6482493AAFB36823B2367DCC65EBC18F4A2D227305E84E9992F617A279007EF11A1C9A26F3D439AF6AB1E7CBCD823691414CF7D', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'gid': 3762, 'rateIdentifier': 'EECA894072AD77A84AAF1FFF526253DC791F0625C6482493AAFB36823B2367DC6F32B75CD4D37065305E84E9992F617A279007EF11A1C9A2BA05078353D0288E5E87DD404E4AC7BDC18C863850E0F8402E53BECF6830086A8394308CA7000F5D25F0009BFF61214B', 'programName': 'Value_Deal', 'savingsPct': '31.0', 'strikeThroughPrice': '124.13', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9995.0,0.0,PACKAGES,Value_Deal,['VALUE_DEAL'],"{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/176/3/4/17634604/master_17634604'}",,19.279242,
610103,Britannia International Hotel Canary Wharf,Independent,3.5,"{'address': {'addressLine1': '163 Marsh Wall, Docklands,', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'E14 9SJ', 'isoCountryCode': 'UK'}, 'longitude': -0.02365171, 'latitude': 51.50176719, 'timeZone': 'Europe/London', 'neighborhoodId': '910052465', 'neighborhoodName': 'London Docklands - Canary Warf & Greenwich', 'cityId': 3000035825, 'zoneId': '52465'}",https://mobileimg.priceline.com/htlimg/610/610103/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'PETALLOW', 'HANDFAC', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",5.7,18232,3.818445988135588,"{'minPrice': '152.97', 'minCurrencyCode': 'USD', 'minStrikePrice': '169.97', 'pclnId': 'FFDED853C69CD744D985F4CA26A545A3C57B6738AFF0A9A2CBC16E7B2303850CCCC9DA234F0708A1602295FDDFA10867B9ADB232495D5C34B38E7DFC59C3A3D9CDC1BF5A806F203414132255F1ADE447086EE91A32CC7E61', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'On Sale Now -> Save 10% on this stay', 'desc': 'Book Now and Save', 'discountPercentage': 9.99890554, 'displayStrikethroughPrice': '169.97', 'nativeStrikethroughPrice': '134.53', 'nativeStrikethroughPriceCurrency': 'GBP', 'showDiscount': True, 'isVariableMarkupPromo': True}], 'gid': 3997, 'rateIdentifier': 'E1DA6AE08C64A064813C4C7B999ADC1CCA7CFA2B79002F54D03542204E1A23FFCCBF4D0463150F5CB21C72743BDF2FB7A1B6C9872816E89701122FE7841C9F827E462E5B8BD8BEEDAEF9A3D359F9654F', 'strikeThroughPrice': '169.97', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9994.0,0.0,AGENCY,,['PROMO_DISCOUNT'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/6/1/0/610103/master_610103'}",,0.0,
8093903,Olympia Hotel,Independent,3.0,"{'address': {'addressLine1': '49, Earls Court Square Royal Borough Of Kensington And Chelsea  ', 'cityName': 'Earls Court, London', 'countryName': 'United Kingdom', 'zip': 'SW5 9BY', 'isoCountryCode': 'UK'}, 'longitude': -0.193599999999947, 'latitude': 51.4903, 'timeZone': 'Europe/London', 'neighborhoodId': '910052331', 'neighborhoodName': ""Kensington - Earl's Court"", 'cityId': 3000035825, 'zoneId': '52331'}",https://mobileimg.priceline.com/htlimg/8093/8093903/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'KITCHEN', 'NSMKFAC', 'FAMFRIEND']}",4.3,2370,3.558966895826463,"{'minPrice': '90.02', 'minCurrencyCode': 'USD', 'minStrikePrice': '100.02', 'pclnId': '104F1D79A251D10C80D249DEB9EB157C9268448DCDCC79574DCF0272FA17A5124904D2C00B1F26AD0C5872F619C4B90C8195FA4914D460C79B4522E5B21AEF6BCFFEC90E5BAA46542B8E2B48AB79ADB6', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'roomLeft': 1, 'gid': 2052, 'rateIdentifier': '4904D2C00B1F26AD0C5872F619C4B90C8195FA4914D460C79B4522E5B21AEF6BA690DE13F187992D5D47606D679DF10B7B491524F22359F56E98E5ABFC5ADA4A408E232E179DAC6F', 'programName': 'Mobile_Deals', 'savingsPct': '10.0', 'strikeThroughPrice': '100.02', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9993.0,0.0,AGENCY,Mobile_Deals,['MOBILE_DEALS'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/80/9/3/8093903/master_8093903'}",,0.0,
31135403,Safestay London Kensington Holland Park,Independent,4.0,"{'address': {'addressLine1': 'Holland Walk, London', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'W8 7QU', 'isoCountryCode': 'UK'}, 'longitude': -0.20284, 'latitude': 51.50575, 'timeZone': 'Europe/London', 'neighborhoodId': '910052331', 'neighborhoodName': ""Kensington - Earl's Court"", 'cityId': 3000035825, 'zoneId': '52331'}",https://mobileimg.priceline.com/htlimg/31135/31135403/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'FITSPA', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",6.3,4457,4.0743521975774435,"{'minPrice': '103.65', 'minCurrencyCode': 'USD', 'pclnId': 'FF49997DF4496BFDFC40646025DB99D3D89C37113C7C736182D74470BA6D74DAC6CD6DF1580F9F16D97CC1B4A11CB7EF60D7054FC9B7AA0683520BE009A2ECB25C3491526709D2DA', 'freeCancelableRateAvail': False, 'payWhenYouStayAvailable': False, 'roomLeft': 1, 'gid': 2407, 'rateIdentifier': '83B41EF2484F76B8289052F75E478ECD041467BEBFB714D7513CC530D694279574667FCFAF8118239FA56E48D774FC06599132C9BA9E202274C39488C227D942', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9992.0,0.0,AGENCY,,,{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/311/3/5/31135403/master_31135403'}",,0.0,
96663203,OYO Sino Hotel,Independent,3.0,"{'address': {'addressLine1': '85 Shepherds Bush Road', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'W6 7LR', 'isoCountryCode': 'UK'}, 'longitude': -0.221992, 'latitude': 51.498641, 'timeZone': 'Europe/London', 'neighborhoodId': '910020041', 'neighborhoodName': 'Hammersmith', 'cityId': 3000035825, 'zoneId': '20041'}",https://mobileimg.priceline.com/htlimg/96663/96663203/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'NSMKFAC']}",5.1,742,4.803819852789806,"{'minPrice': '103.80', 'minCurrencyCode': 'USD', 'minStrikePrice': '115.34', 'pclnId': '666588AEB2CC0436485B4E0143199EC83F9C6AB799FF7CC672B7E175B6FCBEE8F886A3C8D943DC5EA63B5065D1E27E6F1EFB0E636CBC8835E75BE5AD64FA72E678078D358C4171431E3C0A88E70B43135C24BC4C576C43F2', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'On Sale Now -> Save 10% on this stay', 'desc': 'Book Now and Save', 'discountPercentage': 10.00306184, 'displayStrikethroughPrice': '115.34', 'nativeStrikethroughPrice': '91.29', 'nativeStrikethroughPriceCurrency': 'GBP', 'showDiscount': True, 'isVariableMarkupPromo': True}], 'roomLeft': 3, 'gid': 3784, 'rateIdentifier': '79668AAAA534082354A2FEFAD944A852A6E4B61CA01AA55FE096ACB7400B93F79445DEA2DAC8C791B21C72743BDF2FB7DFF19F34116640B3D2ED944FD9BCA504D68FBFDB4E030B87FAA9EC2DB13AAB1F', 'strikeThroughPrice': '115.34', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9991.0,0.0,AGENCY,,['PROMO_DISCOUNT'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/966/6/3/96663203/master_96663203'}",,0.0,
4429005,OYO The Park Hotel,Independent,3.0,"{'address': {'addressLine1': '64 Belgrave Rd, Lillington And Longmoore Gardens, London', 'cityName': 'Binfield', 'countryName': 'United Kingdom', 'zip': 'SW1V 2BP', 'isoCountryCode': 'UK'}, 'longitude': -0.139009784, 'latitude': 51.49075051, 'timeZone': 'Europe/London', 'neighborhoodId': '910020043', 'neighborhoodName': 'Westminster - Houses of Parliament - Victoria', 'cityId': 3000035825, 'zoneId': '20043'}",https://mobileimg.priceline.com/htlimg/4429/4429005/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",5.2,1657,1.2107210053874948,"{'minPrice': '116.23', 'minCurrencyCode': 'USD', 'minStrikePrice': '145.29', 'pclnId': 'F6A568417172BB6B2475D90A0BD37B268559AB0260069DFE34D7C889BA81181CAA87F6DCE67A002B0F52DCB6CB729CD166789F600067BB98BBC086ACDE8ADD2E6FA988570C2D2780CF67757FAC460B7F', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': True, 'roomLeft': 3, 'gid': 2901, 'rateIdentifier': '1737AE089E3377CAB5857B0978E058615989EF03BE1F9088C97FE69D0CDF16E7E1CF180FD46DB9F73EFEFE27A74E2E9B40FE3538A10E33FD478761A762C6AD35DD06C78EC1E02F4D', 'programName': 'Mobile_Deals', 'savingsPct': '20.0', 'strikeThroughPrice': '145.29', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9990.0,0.0,AGENCY,Mobile_Deals,['MOBILE_DEALS'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/44/2/9/4429005/master_4429005'}",,0.0,
608703,Norfolk Towers Paddington,Independent,4.0,"{'address': {'addressLine1': '34 Norfolk Place', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'W2 1QW', 'isoCountryCode': 'UK'}, 'longitude': -0.17194601, 'latitude': 51.51621, 'timeZone': 'Europe/London', 'neighborhoodId': '910052664', 'neighborhoodName': 'Notting Hill - Paddington Station Area', 'cityId': 3000035825, 'zoneId': '52664'}",https://mobileimg.priceline.com/htlimg/608/608703/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'HANDFAC', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",7.6,8362,3.129391135296505,"{'minPrice': '155.21', 'minCurrencyCode': 'USD', 'minStrikePrice': '172.45', 'pclnId': 'FD80CAAD2843D9BF5C479F24CF004C88084499C9C3151D953FCE0BBE543DE4B4E1C640E25662B03F55E2FBE06DBE6353A7206B71260B5CCCF9558EFC1D21CEC38FC366E97B3AB6679E37BB63562AD9C9DA22EC8A742E8EC2E694517E12A3B97F', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'On Sale Now -> Save 10% on this stay', 'desc': 'Book Now and Save', 'discountPercentage': 9.99843785, 'displayStrikethroughPrice': '172.45', 'nativeStrikethroughPrice': '136.50', 'nativeStrikethroughPriceCurrency': 'GBP', 'showDiscount': True, 'isVariableMarkupPromo': True}, {'type': 'DISCOUNT', 'title': 'Limited Time Offer. Price includes 30% discount!', 'discountPercentage': 0.0, 'showDiscount': True, 'isVariableMarkupPromo': False}], 'gid': 3376, 'rateIdentifier': 'EFBD6CE2B6D20A5DC9D9E4741AC6C7B6677F21F9C902F694625B5C4D2D67EF9526C574D5F4A35CA29258B28F2F0FB9D6526F2EEC914D81B2EBAA83AD6CE8941B510C5E51B87237D0F4B753838310CF4F4017DA87DC61BF62', 'strikeThroughPrice': '172.45', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9989.0,0.0,AGENCY,,['PROMO_DISCOUNT'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/6/0/8/608703/master_608703'}",,0.0,
296203,"St. James' Court, A Taj Hotel, London",Taj Hotels,4.0,"{'address': {'addressLine1': '41-54 Buckingham Gate', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'SW1E 6AF', 'isoCountryCode': 'UK'}, 'longitude': -0.13866839, 'latitude': 51.49780711, 'timeZone': 'Europe/London', 'neighborhoodId': '910020043', 'neighborhoodName': 'Westminster - Houses of Parliament - Victoria', 'cityId': 3000035825, 'zoneId': '20043'}",https://mobileimg.priceline.com/htlimg/296/296203/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'RESTRNT', 'FITSPA', 'SPA', 'SPA', 'BUSCNTR', 'HANDFAC', 'NSMKFAC', 'SUSTAIN', 'HOTTUB', 'FAMFRIEND']}",8.6,4615,1.2700826877960267,"{'minPrice': '331.01', 'minCurrencyCode': 'USD', 'minStrikePrice': '375.82', 'pclnId': '4CC80266A16346678604536A0C71A701084499C9C3151D95FCB4435834E809B9F96075C5D9AE68E1AD23E157D3C8177E2A5EFF3A15811911B81EC26E486BE4971BF6539C4CC48A9DDD796DA40559046D24F5040E70466AB67507FBEEA7B1D9DCD54D163362BAB732', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'roomLeft': 1, 'gid': 5552, 'rateIdentifier': '261A3936ED0F8260E3A82EC3A4BD8589645CF0BEBF7111BD030DBB934B46A07427A4188BE8B41C5AFB5B37F530232123A9416399DFB19EEDDFEBDE1BAF10757B5F2D203C6EE3E71B859E51380E4CBB7F4F5451AA71EFEDFB72219AAB4CE1495A408E232E179DAC6F', 'programName': 'Value_Deal', 'savingsPct': '11.0', 'strikeThroughPrice': '375.82', 'merchandisingFlag': True, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9988.0,0.0,OPAQUE,Value_Deal,['VALUE_DEAL'],"{'topBooked': {'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}}","[{'type': 'TOP_BOOKED', 'description': 'TOP BOOKED HOTEL'}]","{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/2/9/6/296203/master_296203'}",['clean'],0.0,
14947005,Sheriff Hotel,Independent,3.0,"{'address': {'addressLine1': '115 Warwick Way, Victoria', 'cityName': 'London', 'countryName': 'United Kingdom', 'zip': 'SW1V4HT', 'isoCountryCode': 'UK'}, 'longitude': -0.145161152, 'latitude': 51.4909232, 'timeZone': 'Europe/London', 'neighborhoodId': '910020043', 'neighborhoodName': 'Westminster - Houses of Parliament - Victoria', 'cityId': 3000035825, 'zoneId': '20043'}",https://mobileimg.priceline.com/htlimg/14947/14947005/thumbnail-150-square.jpg,"{'hotelAmenityCodes': ['FINTRNT', 'HEALTHSVCS', 'NSMKFAC', 'SUSTAIN', 'FAMFRIEND']}",5.6,1804,1.4747068211557885,"{'minPrice': '128.50', 'minCurrencyCode': 'USD', 'minStrikePrice': '142.78', 'pclnId': '6B8B583D7F360854F8242BAD7DEF056927ED0FD99D4C72A0AC3A50F9FEDEC3D7F4E8A8A17A0CA36D6959D85C1D56AD48D5718804676E6245902C5E1A1CA7E44DBAF2645F2E5BDD2017E39446B14BBC146132C80EFC1C99AFF5E027A10D7AFE24', 'freeCancelableRateAvail': True, 'payWhenYouStayAvailable': False, 'minRatePromos': [{'type': 'DISCOUNT', 'title': 'On Sale Now -> Save 10% on this stay', 'desc': 'Book Now and Save', 'discountPercentage': 10.00005925, 'displayStrikethroughPrice': '142.78', 'nativeStrikethroughPrice': '113.01', 'nativeStrikethroughPriceCurrency': 'GBP', 'showDiscount': True, 'isVariableMarkupPromo': True}, {'type': 'DISCOUNT', 'title': 'Limited Time Offer. Price includes 10% discount!', 'discountPercentage': 0.0, 'showDiscount': True, 'isVariableMarkupPromo': False}], 'gid': 3578, 'rateIdentifier': 'D1D4D68EA8C9D433A67A19C409B4A2B28A85AEEB28E5366D87FC35A3FA158E0980CC0C3C9967F0C2F2F0D46D0EB810C69186E399786897660257DE3EC3CC4EDB75427A685AF482A0360633D0757A3A7DCB3083B3334E61A7', 'strikeThroughPrice': '142.78', 'merchandisingFlag': False, 'ccNotRequiredAvailable': False, 'applePayRateAvailable': False}",False,9987.0,0.0,AGENCY,,['PROMO_DISCOUNT'],{},,"{'source': 'fastly', 'url': 'https://mobileimg.pclncdn.com/htlimg/master/149/4/7/14947005/master_14947005'}",,0.0,
